image_name,status,detected_classes,used_classes,square_detected,square_estimated,marker_center_x,marker_center_y,north_x,north_y,east_x,east_y,south_x,south_y,west_x,west_y,angle_deg,confidence,residual,reason
1_19_2026_162815_complete_denoise_marker_color.jpg,OK_DIRECT_SQUARE,0|1|3,0|1|3,True,False,242.77273864211054,297.2165233889875,190.6594931454721,197.3567254530459,342.63253657805217,245.1032778923491,294.885984138749,397.07632132492915,142.9129407061689,349.329768885626,117.55844032815531,0.7810933333333333,0.0,class0 square detected
1_19_2026_162954_complete_denoise_marker_color.jpg,OK_DIRECT_SQUARE,0|1|3,0|1|3,True,False,257.66528508353406,237.851477301164,197.3077394527852,142.74765884242876,352.7691035422693,177.49393167041515,318.0228307142829,332.9552957598993,162.5614666247988,298.20902293191284,122.40121420652099,0.8604560000000001,0.0,class0 square detected
1_19_2026_163055_complete_denoise_marker_color.jpg,OK_DIRECT_SQUARE,0|1|3,0|1|3,True,False,243.65510657204268,192.48300008368497,158.7351193830892,118.48053136926994,317.6575752864577,107.56301289473149,328.5750937609962,266.4854687981,169.65263785762767,277.4029872726385,138.92988195188343,0.6769163333333333,0.0,class0 square detected
1_19_2026_163908_complete_denoise_marker_color.jpg,OK_DIRECT_SQUARE,0|1|2|3,0|1|2|3,True,False,251.13504389553773,200.92076460462977,142.0654381479227,172.78554286994597,279.2702656302215,91.85115885701474,360.2046496431528,229.05598633931356,222.99982216085394,309.9903703522448,165.53550456268357,0.92606925,0.0,class0 square detected
1_19_2026_164025_complete_denoise_marker_color.jpg,OK_DIRECT_SQUARE,0|1|2|3,0|1|2|3,True,False,258.20255079678117,216.5849960922909,150.08375904044908,184.9923312925167,289.7952155965554,108.4662043359588,366.32134255311325,248.17766089206512,226.60988599700696,324.703787848623,163.71146454389856,0.9146387500000001,0.0,class0 square detected
1_19_2026_164154_complete_denoise_marker_color.jpg,OK_DIRECT_SQUARE,0|1|2|3,0|1|2|3,True,False,260.5764367446171,236.33372262809428,147.9762360032028,233.33966301058453,263.5704963621269,123.73352188667998,373.17663748603144,239.32778224560403,257.58237712710735,348.9339233695086,178.47685380978123,0.9043370000000001,0.0,class0 square detected
1_19_2026_164325_complete_denoise_marker_color.jpg,OK_DIRECT_SQUARE,0|1|2|3,0|1|2|3,True,False,282.2023527290181,205.07562122021287,383.2766933512479,155.35895130174916,331.9190226474818,306.1499618424426,181.12801210678833,254.79229113867657,232.4856828105544,104.0012805979831,26.19175215699154,0.91814325,0.0,class0 square detected
1_19_2026_164738_complete_denoise_marker_color.jpg,OK_DIRECT_SQUARE,0|1|2|3,0|1|2|3,True,False,256.1515645890404,239.67632937142378,154.52573086287458,288.2557439362546,207.57215002420958,138.05049564525797,357.7773983152062,191.09691480659296,304.7309791538712,341.3021630975896,-154.45116044544505,0.7695615,0.0,class0 square detected
1_19_2026_164852_complete_denoise_marker_color.jpg,OK_ESTIMATED_SQUARE,1|2|3,1|2|3,False,True,261.64028402452846,225.71627180968525,355.29812000577886,163.13848534108928,324.2180704931244,319.3741077909357,167.98244804327803,288.2940582782812,199.0624975559325,132.05843582843482,33.74899391255197,0.20324877101848376,0.09466162058428228,"class0 missing, estimated by class1/2/3 template matching"
1_19_2026_165030_complete_denoise_marker_color.jpg,OK_ESTIMATED_SQUARE,1|2|3,1|2|3,False,True,292.00126223828795,169.6113627001838,294.2076648832325,56.99297438207485,404.6196505563969,171.81776534512832,289.7948595933434,282.22975101829275,179.382873920179,167.4049600552393,88.87761323579115,0.0,0.19764679146317343,"class0 missing, estimated by class1/2/3 template matching"
1_19_2026_165420_complete_denoise_marker_color.jpg,LOW_CONFIDENCE,1|3,1|3,False,True,358.24076722915163,324.36555681628874,340.4069689830015,435.5848233132209,247.0215007322195,306.5317585701386,376.07456547530177,213.1462903193566,469.4600337260838,342.1993550624389,-99.10972277664963,0.5573133333333333,0.0,"class0 missing, estimated with only 2 classes"
